td_id,spotsID,scenicSpots,time,day,people,cost
7388891,12711,云南,出发时间/2017-03-27,出行天数/7 天,人物/情侣/夫妻,人均费用/5000RMB
10819494,12711,云南,出发时间/2018-10-01,出行天数/7 天,人物/家庭出游,人均费用/2000RMB
6629582,12711,云南,出发时间/2017-01-29,出行天数/4 天,人物/家庭出游,人均费用/800RMB
11533526,12711,云南,出发时间/2018-12-14,出行天数/4 天,人物/情侣/夫妻,人均费用/1500RMB
8532566,12711,云南,出发时间/2017-05-17,出行天数/7 天,人物/和同学,人均费用/3500RMB
12028118,12711,云南,出发时间/2018-05-01,出行天数/6 天,人物/情侣/夫妻,人均费用/7600RMB
5486835,12711,云南,出发时间/2016-03-04,出行天数/18 天,人物/情侣/夫妻,null
18905251,12711,云南,null,null,null,null
17284276,12711,云南,出发时间/2019-09-30,出行天数/5 天,人物/其它,人均费用/4500RMB
10827782,12711,云南,出发时间/2018-08-25,出行天数/8 天,人物/ 和朋友,人均费用/5000RMB
8172062,12711,云南,出发时间/2017-10-05,出行天数/8 天,人物/ 和朋友,null
18544990,12711,云南,null,null,人物/ 和朋友,人均费用/100RMB
17316925,12711,云南,出发时间/2019-09-26,出行天数/10 天,人物/情侣/夫妻,人均费用/5000RMB
8782514,12711,云南,出发时间/2018-03-21,出行天数/7 天,人物/家庭出游,人均费用/3000RMB
8625642,12711,云南,出发时间/2016-03-15,出行天数/8 天,人物/家庭出游,人均费用/6000RMB
